产线编号,批次号,产品名称,单据装箱数,单据扫码数,箱码成功数,箱码失败数,瓶码扫描数,分箱数,漏读箱码数,瓶码识读率,箱码识读率,生产状态
01,1704132,普通纯生600瓶,9987,136736,0,1,0,1,0,0%,0%,生产中
01,1704132,普通纯生600瓶,9988,136757,1,1,21,2,0,50%,50%,生产中
01,1704132,普通纯生600瓶,9993,136808,6,1,72,7,0,85.7142857142857%,85.7142857142857%,生产中
01,1704132,普通纯生600瓶,9993,136808,6,1,72,7,0,85.7142857142857%,85.7142857142857%,生产中
01,1704132,普通纯生600瓶,9993,136808,6,1,72,7,0,85.7142857142857%,85.7142857142857%,生产中
01,1704132,普通纯生600瓶,9993,136808,6,1,72,7,0,85.7142857142857%,85.7142857142857%,生产中
01,1704132,普通纯生600瓶,10005,136960,18,1,224,19,0,94.2982456140351%,94.7368421052632%,生产中
01,1704132,普通纯生600瓶,10028,137227,41,1,491,42,0,97.4206349206349%,97.6190476190476%,生产中
01,1704132,普通纯生600瓶,10051,137503,64,1,767,65,0,98.3333333333333%,98.4615384615385%,生产中
01,1704132,普通纯生600瓶,10073,137773,86,1,1037,87,0,98.7547892720306%,98.8505747126437%,生产中
01,1704132,普通纯生600瓶,10095,138030,108,1,1294,109,0,98.9296636085627%,99.0825688073395%,生产中
01,1704132,普通纯生600瓶,10117,138304,130,1,1568,131,0,98.9821882951654%,99.236641221374%,生产中
01,1704132,普通纯生600瓶,10139,138567,152,1,1831,153,0,99.0740740740741%,99.3464052287582%,生产中
01,1704132,普通纯生600瓶,10153,138735,167,1,1999,167,0,99.1516966067864%,99.4011976047904%,生产中
01,1704132,普通纯生600瓶,10171,138942,184,1,2206,185,0,99.2342342342342%,99.4594594594595%,生产中
01,1704132,普通纯生600瓶,10194,139214,207,1,2478,208,0,99.2788461538462%,99.5192307692308%,生产中
01,1704132,普通纯生600瓶,10214,139489,227,3,2753,230,0,99.3478260869565%,98.695652173913%,生产中
01,1704132,普通纯生600瓶,10237,139753,250,3,3017,253,0,99.3741765480896%,98.8142292490119%,生产中
01,1704132,普通纯生600瓶,10257,139992,270,3,3256,273,0,99.3894993894994%,98.9010989010989%,生产中
01,1704132,普通纯生600瓶,10271,140170,284,3,3434,287,0,99.4192799070848%,98.9547038327526%,生产中
01,1704132,普通纯生600瓶,10282,140297,295,3,3561,298,0,99.4127516778523%,98.993288590604%,生产中
01,1704132,普通纯生600瓶,10305,140567,318,3,3831,321,0,99.4548286604361%,99.0654205607477%,生产中
01,1704132,普通纯生600瓶,10327,140842,340,3,4106,343,0,99.4655004859086%,99.1253644314869%,生产中
01,1704132,普通纯生600瓶,10333,140912,346,3,4176,349,0,99.4746895893028%,99.1404011461318%,生产中
01,1704132,普通纯生600瓶,10339,140986,352,3,4250,355,0,99.4835680751174%,99.1549295774648%,生产中
01,1704132,普通纯生600瓶,10343,141034,357,3,4298,359,0,99.489322191272%,99.1643454038997%,生产中
01,1704132,普通纯生600瓶,10366,141300,379,3,4564,382,0,99.4982547993019%,99.2146596858639%,生产中
01,1704132,普通纯生600瓶,10389,141572,402,3,4836,405,0,99.5061728395062%,99.2592592592593%,生产中
01,1704132,普通纯生600瓶,10411,141844,424,3,5108,427,0,99.512099921936%,99.2974238875878%,生产中
01,1704132,普通纯生600瓶,10429,142061,442,3,5325,445,0,99.5318352059925%,99.3258426966292%,生产中
01,1704132,普通纯生600瓶,10438,142159,451,3,5423,454,0,99.5411160058737%,99.3392070484582%,生产中
01,1704132,普通纯生600瓶,10458,142409,471,3,5673,474,0,99.5604781997187%,99.3670886075949%,生产中
01,1704132,普通纯生600瓶,10460,142432,473,3,5696,476,0,99.562324929972%,99.3697478991597%,生产中
01,1704132,普通纯生600瓶,10472,142567,485,3,5831,488,0,99.573087431694%,99.3852459016393%,生产中
01,1704132,普通纯生600瓶,10472,142567,485,3,5831,488,0,99.573087431694%,99.3852459016393%,生产中
01,1704132,普通纯生600瓶,10472,142570,485,3,5834,488,0,99.573087431694%,99.3852459016393%,生产中
01,1704132,普通纯生600瓶,10473,142585,486,3,5849,489,0,99.573960463531%,99.3865030674847%,生产中
01,1704132,普通纯生600瓶,10476,142627,489,3,5891,492,0,99.5765582655827%,99.390243902439%,生产中
01,1704132,普通纯生600瓶,10484,142711,497,3,5975,500,0,99.5833333333333%,99.4%,生产中
01,1704132,普通纯生600瓶,10508,142997,521,3,6261,524,0,99.5706106870229%,99.4274809160305%,生产中
01,1704132,普通纯生600瓶,10527,143237,540,3,6501,543,0,99.585635359116%,99.4475138121547%,生产中
01,1704132,普通纯生600瓶,10547,143467,560,3,6731,563,0,99.5855535820012%,99.4671403197158%,生产中
01,1704132,普通纯生600瓶,10571,143764,585,3,7028,587,0,99.6024985803521%,99.488926746167%,生产中
01,1704132,普通纯生600瓶,10596,144051,609,3,7315,612,0,99.6051198257081%,99.5098039215686%,生产中
01,1704132,普通纯生600瓶,10615,144288,628,3,7552,631,0,99.6038034865293%,99.5245641838352%,生产中
01,1704132,普通纯生600瓶,10640,144577,653,3,7841,656,0,99.6061991869919%,99.5426829268293%,生产中
01,1704132,普通纯生600瓶,10663,144862,676,3,8126,679,0,99.6195385370643%,99.5581737849779%,生产中
01,1704132,普通纯生600瓶,10663,144864,676,3,8128,679,0,99.6195385370643%,99.5581737849779%,生产中
01,1704132,普通纯生600瓶,10669,144925,682,3,8189,685,0,99.6228710462287%,99.5620437956204%,生产中
01,1704132,普通纯生600瓶,10692,145201,705,3,8465,708,0,99.6351224105461%,99.5762711864407%,生产中
01,1704132,普通纯生600瓶,10711,145429,724,3,8693,727,0,99.6446584135718%,99.5873452544704%,生产中
01,1704132,普通纯生600瓶,10726,145632,739,4,8896,743,0,99.6410946612831%,99.4616419919246%,生产中
01,1704132,普通纯生600瓶,10736,145740,749,4,9004,753,0,99.6458610004427%,99.468791500664%,生产中
01,1704132,普通纯生600瓶,10736,145740,749,4,9004,753,0,99.6458610004427%,99.468791500664%,生产中
01,1704132,普通纯生600瓶,10737,145752,750,4,9016,754,0,99.6463306808134%,99.4694960212202%,生产中
01,1704132,普通纯生600瓶,10761,146040,774,4,9304,778,0,99.6572407883462%,99.4858611825193%,生产中
01,1704132,普通纯生600瓶,10784,146340,797,5,9604,802,0,99.667497921862%,99.3765586034913%,生产中
01,1704132,普通纯生600瓶,10807,146602,820,5,9866,825,0,99.6565656565657%,99.3939393939394%,生产中
01,1704132,普通纯生600瓶,10830,146878,843,5,10142,848,0,99.6658805031446%,99.4103773584906%,生产中
01,1704132,普通纯生600瓶,10853,147154,866,5,10418,871,0,99.6747034060467%,99.4259471871412%,生产中
01,1704132,普通纯生600瓶,10862,147269,875,5,10533,880,0,99.6780303030303%,99.4318181818182%,生产中
01,1704132,普通纯生600瓶,10883,147514,896,5,10778,901,0,99.685534591195%,99.4450610432853%,生产中
01,1704132,普通纯生600瓶,10903,147766,916,5,11030,921,0,99.6923633731451%,99.457111834962%,生产中
01,1704132,普通纯生600瓶,10917,147921,930,5,11185,935,0,99.6880570409982%,99.4652406417112%,生产中
01,1704132,普通纯生600瓶,10933,148113,946,5,11377,951,0,99.6933052926744%,99.4742376445846%,生产中
01,1704132,普通纯生600瓶,10951,148341,964,5,11605,969,0,99.6990024079807%,99.484004127967%,生产中
01,1704132,普通纯生600瓶,10969,148554,982,5,11818,987,0,99.7044917257683%,99.4934143870314%,生产中
01,1704132,普通纯生600瓶,10988,148773,1001,5,12037,1006,0,99.7100728959576%,99.5029821073559%,生产中
01,1704132,普通纯生600瓶,11010,149048,1024,5,12312,1028,0,99.7081712062257%,99.5136186770428%,生产中
01,1704132,普通纯生600瓶,11025,149215,1038,5,12479,1043,0,99.7043783956536%,99.5206136145734%,生产中
01,1704132,普通纯生600瓶,11047,149485,1060,5,12749,1065,0,99.7104851330203%,99.5305164319249%,生产中
01,1704132,普通纯生600瓶,11069,149743,1082,5,13007,1087,0,99.7163446795462%,99.540018399264%,生产中
01,1704132,普通纯生600瓶,11084,149922,1097,5,13186,1102,0,99.7126436781609%,99.546279491833%,生产中
01,1704132,普通纯生600瓶,11106,150196,1119,5,13460,1124,0,99.7182680901542%,99.5551601423488%,生产中
01,1704132,普通纯生600瓶,11119,150351,1132,5,13615,1137,0,99.7214892993257%,99.5602462620932%,生产中
